ALP2 - ELV - BOQ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,
,,,,,, BASE COST ,,100%, SUBMISSION ,, SKK ,,, NSI ,,, WINCOMM ,,, ACMALITE ,,, BASTION ,,
ITEM,,DESCRIPTION,,UNIT,QTY," RATE 
(RM) "," AMOUNT 
(RM) ",," RATE 
(RM) "," AMOUNT 
(RM) "," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK 
03.01.06,,"To  supply  and  install 5MP  Dome  Camera  c/w  sensor  bracket,  and  all  necessary accessories. (exclude for staircase)",,No,41,, -   ,100%, -   , -   , 393.50 ," 16,133.50 ",, 580.00 ," 23,780.00 ",, 500.00 ," 20,500.00 ",, 573.00 ," 23,493.00 ",," 1,100.00 "," 45,100.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.07,,To supply & install Dome Cameras at Staircase c/w all necessary accessories.,,No,29,, -   ,100%, -   , -   , 290.80 ," 8,433.20 ",, 390.00 ," 11,310.00 ",, 500.00 ," 14,500.00 ",, 573.00 ," 16,617.00 ",," 1,100.00 "," 31,900.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.08,,4m height HDG Pole c/w HDG mounting bracket inclusive of drilling and all other accessories for complete installation.,,No,12,, -   ,100%, -   , -   ," 3,705.40 "," 44,464.80 ",," 2,200.00 "," 26,400.00 ",," 1,600.00 "," 19,200.00 ",," 1,800.00 "," 21,600.00 ",," 3,000.00 "," 36,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.09,,To supply and install Media Converter from network switch to devices.,,No,43,, -   ,100%, -   , -   ," 2,667.20 "," 114,689.60 ",, 180.00 ," 7,740.00 ",," 40,000.00 "," 40,000.00 ", 1LOT , 300.00 ," 12,900.00 ",," 8,000.00 "," 344,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.10,,"To supply and install CCTV signal cabling 12C single mode fibre optic from Control Room to Management office in PVC  Class D or HDPE Duct encased in concrete at road crossing, termination   and   etc   for   complete installation. 
Approximate length: 100m",,LS,1,, -   ,100%, -   , -   ," 5,141.40 "," 5,141.40 ",," 4,500.00 "," 4,500.00 ", 45/M ," 6,000.00 "," 6,000.00 ",," 2,800.00 "," 2,800.00 ",," 5,500.00 "," 5,500.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
